language_1,language_2,similarity,feature_set
eng,fra,0.736373539248127,inventory_average
eng,deu,0.7761954256776933,inventory_average
eng,spa,0.6498899155679386,inventory_average
eng,ita,0.6999658228156915,inventory_average
eng,nld,0.7223460919122203,inventory_average
eng,por,0.7867372576486601,inventory_average
eng,pol,0.6528124384711251,inventory_average
eng,swe,0.6797294208444249,inventory_average
eng,dan,0.0,inventory_average
eng,nor,0.735082526214792,inventory_average
eng,fin,0.7015265066324012,inventory_average
eng,ell,0.6474962060880324,inventory_average
eng,ron,0.730383184335179,inventory_average
eng,mlt,0.6837634587578276,inventory_average
eng,hun,0.7408303540624345,inventory_average
eng,ces,0.6650266477822089,inventory_average
eng,slk,0.0,inventory_average
eng,bul,0.7001787838693513,inventory_average
eng,hrv,0.6966731912120169,inventory_average
eng,lit,0.7497343094915742,inventory_average
eng,lav,0.0,inventory_average
eng,est,0.0,inventory_average
eng,isl,0.7402645090373983,inventory_average
eng,zho,0.7491465500524409,inventory_average
eng,ara,0.7587568376388749,inventory_average
eng,tur,0.6848842996928991,inventory_average
eng,hin,0.7652584085605557,inventory_average
eng,ben,0.7430615136563968,inventory_average
eng,jpn,0.6592232253226286,inventory_average
eng,kor,0.7103807526472847,inventory_average
eng,rus,0.6316689653752049,inventory_average
eng,urd,0.7156264473321347,inventory_average
eng,vie,0.7475743188112142,inventory_average
eng,tha,0.7888426505157586,inventory_average
eng,ind,0.7557086549031783,inventory_average
eng,fas,0.7203939563188919,inventory_average
fra,deu,0.8359140076371451,inventory_average
fra,spa,0.6086104511023409,inventory_average
fra,ita,0.7723284457212329,inventory_average
fra,nld,0.8655446791269228,inventory_average
fra,por,0.817007370205667,inventory_average
fra,pol,0.6779297261030778,inventory_average
fra,swe,0.7254901960784315,inventory_average
fra,dan,0.0,inventory_average
fra,nor,0.657073840406108,inventory_average
fra,fin,0.7952989177463274,inventory_average
fra,ell,0.6003651330350925,inventory_average
fra,ron,0.7643195458652886,inventory_average
fra,mlt,0.7100716024967263,inventory_average
fra,hun,0.8776911014713392,inventory_average
fra,ces,0.7251445774379058,inventory_average
fra,slk,0.0,inventory_average
fra,bul,0.7330785033484553,inventory_average
fra,hrv,0.7118090427142382,inventory_average
fra,lit,0.7278037118162675,inventory_average
fra,lav,0.0,inventory_average
fra,est,0.0,inventory_average
fra,isl,0.758069523622193,inventory_average
fra,zho,0.7673616932925931,inventory_average
fra,ara,0.7118724207971633,inventory_average
fra,tur,0.7112355683517544,inventory_average
fra,hin,0.7573460180839064,inventory_average
fra,ben,0.6952111194529299,inventory_average
fra,jpn,0.7099422516253557,inventory_average
fra,kor,0.7435678753457052,inventory_average
fra,rus,0.6807264357964634,inventory_average
fra,urd,0.6764666413954517,inventory_average
fra,vie,0.6883526875660283,inventory_average
fra,tha,0.7638428387783321,inventory_average
fra,ind,0.728728860162672,inventory_average
fra,fas,0.7316090178660981,inventory_average
deu,spa,0.5504818825631803,inventory_average
deu,ita,0.7263001870593785,inventory_average
deu,nld,0.8785611189861342,inventory_average
deu,por,0.7774630169639039,inventory_average
deu,pol,0.6104332283610249,inventory_average
deu,swe,0.7861572214682674,inventory_average
deu,dan,0.0,inventory_average
deu,nor,0.7159960283760746,inventory_average
deu,fin,0.7826098422009169,inventory_average
deu,ell,0.621581560508061,inventory_average
deu,ron,0.7580469914866149,inventory_average
deu,mlt,0.6726999721460173,inventory_average
deu,hun,0.7699051150414965,inventory_average
deu,ces,0.7360496190944209,inventory_average
deu,slk,0.0,inventory_average
deu,bul,0.7320036253792995,inventory_average
deu,hrv,0.6988245702767232,inventory_average
deu,lit,0.7330220082603196,inventory_average
deu,lav,0.0,inventory_average
deu,est,0.0,inventory_average
deu,isl,0.7477945020767083,inventory_average
deu,zho,0.7430069452568816,inventory_average
deu,ara,0.7005144235402492,inventory_average
deu,tur,0.7859737454221889,inventory_average
deu,hin,0.734262271114947,inventory_average
deu,ben,0.6687183163853175,inventory_average
deu,jpn,0.6755800069219101,inventory_average
deu,kor,0.6953208427626525,inventory_average
deu,rus,0.6909634979907082,inventory_average
deu,urd,0.705981604709219,inventory_average
deu,vie,0.7459851880273468,inventory_average
deu,tha,0.7303831843351791,inventory_average
deu,ind,0.7055483667322162,inventory_average
deu,fas,0.7258606443538755,inventory_average
spa,ita,0.7120516440958823,inventory_average
spa,nld,0.6502163269542497,inventory_average
spa,por,0.7281354579162191,inventory_average
spa,pol,0.7527126493091444,inventory_average
spa,swe,0.5664295287487132,inventory_average
spa,dan,0.0,inventory_average
spa,nor,0.5464007612431787,inventory_average
spa,fin,0.6268831279755029,inventory_average
spa,ell,0.7527726527090808,inventory_average
spa,ron,0.7028747554228274,inventory_average
spa,mlt,0.7128451081042417,inventory_average
spa,hun,0.685981028286332,inventory_average
spa,ces,0.6650129639655472,inventory_average
spa,slk,0.0,inventory_average
spa,bul,0.6447275739869918,inventory_average
spa,hrv,0.7889410520052145,inventory_average
spa,lit,0.6658003028611832,inventory_average
spa,lav,0.0,inventory_average
spa,est,0.0,inventory_average
spa,isl,0.7218742950449778,inventory_average
spa,zho,0.6303120084562317,inventory_average
spa,ara,0.6980641939822763,inventory_average
spa,tur,0.6134218397380075,inventory_average
spa,hin,0.6303946312950943,inventory_average
spa,ben,0.581670902869644,inventory_average
spa,jpn,0.631158185986449,inventory_average
spa,kor,0.6477502756312957,inventory_average
spa,rus,0.692260454624585,inventory_average
spa,urd,0.5973191135873605,inventory_average
spa,vie,0.6234959640306564,inventory_average
spa,tha,0.673609679265374,inventory_average
spa,ind,0.7579900447118294,inventory_average
spa,fas,0.6897247020435424,inventory_average
ita,nld,0.7798989061877764,inventory_average
ita,por,0.8518473437045418,inventory_average
ita,pol,0.709372428713396,inventory_average
ita,swe,0.6587507331151692,inventory_average
ita,dan,0.0,inventory_average
ita,nor,0.5485227369785651,inventory_average
ita,fin,0.7314518199708457,inventory_average
ita,ell,0.6955186050933213,inventory_average
ita,ron,0.8381440091756066,inventory_average
ita,mlt,0.8226127456606227,inventory_average
ita,hun,0.8159495791569732,inventory_average
ita,ces,0.7734020832408641,inventory_average
ita,slk,0.0,inventory_average
ita,bul,0.7733154473325504,inventory_average
ita,hrv,0.784070202132019,inventory_average
ita,lit,0.732041779862403,inventory_average
ita,lav,0.0,inventory_average
ita,est,0.0,inventory_average
ita,isl,0.74215604399294,inventory_average
ita,zho,0.6882422852793345,inventory_average
ita,ara,0.7176769753613775,inventory_average
ita,tur,0.7176436184643266,inventory_average
ita,hin,0.6924588554792201,inventory_average
ita,ben,0.6240777615289801,inventory_average
ita,jpn,0.7049681945352562,inventory_average
ita,kor,0.6240192894539398,inventory_average
ita,rus,0.7456011350793258,inventory_average
ita,urd,0.6401906392481045,inventory_average
ita,vie,0.7075133981156019,inventory_average
ita,tha,0.7438343052617369,inventory_average
ita,ind,0.7792865001991967,inventory_average
ita,fas,0.7392284758051434,inventory_average
nld,por,0.8214799971933826,inventory_average
nld,pol,0.6650155962172235,inventory_average
