annotationId,language,sdg_categories,predicted
11c54b4e-3aed-411f-bde9-8420bcf3e319,fr,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],6 - EAU PROPRE ET ASSAINISSEMENT
c4cddd46-d679-43e6-ae31-36764ecdd1d8,fr,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],12
41e53a73-b0ee-4d72-a7b5-0b888b4393f5,fr,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],6 - EAU PROPRE ET ASSAINISSEMENT
67f36c6f-8cba-49aa-be0b-ce2f79b155b4,fr,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],6 - EAU PROPRE ET ASSAINISSEMENT
506e553d-9d75-49c1-a921-f8c9c19ae180,fr,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],6 - EAU PROPRE ET ASSAINISSEMENT.
8e90f47a-417e-4c59-a918-98559afc0626,fr,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],6 - EAU PROPRE ET ASSAINISSEMENT
da17f174-8a20-4e4c-92b6-5733a215ce2b,fr,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],6 - EAU PROPRE ET ASSAINISSEMENT
a39e5ed0-4afd-4dbb-8824-83d5de1ff0f3,fr,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES."
c142dec1-f946-4440-923e-aad0b26ac9a5,fr,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],6 - EAU PROPRE ET ASSAINISSEMENT
afcca0ba-269e-4f8a-8206-5c912f700ffa,fr,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],6 - EAU PROPRE ET ASSAINISSEMENT
d8f2111d-bb44-4b9f-bbfd-750cf1afba9b,fr,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],6 - EAU PROPRE ET ASSAINISSEMENT
6469fddd-7e01-4a13-ae3a-7300e97734ee,fr,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],6 - EAU PROPRE ET ASSAINISSEMENT
10064842-05bc-4f71-9298-1e64e3ee6ef7,fr,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],6 - EAU PROPRE ET ASSAINISSEMENT
fe78ebee-719a-4181-b47d-e08ee39fe351,fr,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],6 - EAU PROPRE ET ASSAINISSEMENT
6ebb7fdd-698e-4c4d-a4d2-d5578c6e0f35,fr,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],11 - VILLES ET COMMUNAUTES DURABLES.
e0e7f912-91d6-459d-8c23-54ffc2820e46,fr,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],3 - BONNE SANTE ET BIEN-ETRE
e3b2030d-cd64-490e-b251-a5949f8c312d,fr,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],6 - EAU PROPRE ET ASSAINISSEMENT
bdd8c4f6-1b0e-4054-9ec0-f2507eec6c6b,fr,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],6 - EAU PROPRE ET ASSAINISSEMENT
98a3cba4-644b-43c3-9df2-62e1da779641,fr,['da6a1d11-83e8-4877-b3dd-36399f40c2ed'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES."
